2022-09-28 21:17:04,388 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\IUH-Uni\Yeah_4\KienTrucPhanMem\Ex\Quan_ly_benh_nhan\Ref\apache-activemq-5.17.2\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-09-28 21:17:05,440 | INFO  | PListStore:[D:\IUH-Uni\Yeah_4\KienTrucPhanMem\Ex\Quan_ly_benh_nhan\Ref\apache-activemq-5.17.2\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2022-09-28 21:17:05,618 | INFO  | Apache ActiveMQ 5.17.2 (localhost, ID:DESKTOP-AEV2O3J-10206-1664374625455-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-09-28 21:17:05,644 | INFO  | Listening for connections at: tcp://DESKTOP-AEV2O3J:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-09-28 21:17:05,673 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-09-28 21:17:05,679 | INFO  | Listening for connections at: amqp://DESKTOP-AEV2O3J:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-09-28 21:17:05,679 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-09-28 21:17:05,683 | INFO  | Listening for connections at: stomp://DESKTOP-AEV2O3J:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-09-28 21:17:05,687 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-09-28 21:17:05,694 | INFO  | Listening for connections at: mqtt://DESKTOP-AEV2O3J:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-09-28 21:17:05,695 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
